donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
United States,India,206993,Strengthening civil society
United States,India,109913,Site preservation
United States,India,517482,Legal and judicial development
United States,India,1241958,Basic life skills for youth and adults
United States,India,206993,Basic health care
United States,India,498197,Std control including hiv/aids
United States,India,641421,Std control including hiv/aids
United States,India,44173,Security system management and reform
United States,India,206993,Strengthening civil society
United States,India,87972,Material relief assistance and services
United States,India,77622,Energy policy and admin. management
United States,India,5787523,Family planning
United States,India,1034965,Basic nutrition
United States,India,258741,Reproductive health care
United States,India,362238,Tuberculosis control
United States,India,1552447,Family planning
United States,India,413986,Family planning
United States,India,1034965,Reproductive health care
United States,India,281510,Infectious disease control
United States,India,206993,Reproductive health care
United States,India,206993,Basic health care
United States,India,1611337,Food aid/Food security programmes
United States,India,60338,Food aid/Food security programmes
United States,India,276957,Food aid/Food security programmes
United States,India,517482,Family planning
United States,India,142308,Food aid/Food security programmes
United States,India,17801,Food aid/Food security programmes
United States,India,1035,Health personnel development
United States,India,681007,Family planning
United States,India,338433,Strengthening civil society
United States,India,413986,Family planning
Japan,South Africa,53479,Sectors not specified
United States,Thailand,4239216,Social/ welfare services
United States,Thailand,25873,Environmental policy and administrative management
United States,Thailand,6810,Basic nutrition
United States,Thailand,25874,Air transport
United States,Thailand,295621,Std control including hiv/aids
United States,Thailand,162744,Infectious & Parasitic disease control
United States,Thailand,49696,Bio-diversity
United States,Thailand,350250,Material relief assistance and services
United States,Thailand,379631,Emergency/distress relief
United States,Thailand,1914685,Material relief assistance and services
United States,Thailand,62098,Strengthening civil society
United States,Thailand,196643,Strengthening civil society
United States,Thailand,51748,Strengthening civil society
United States,Thailand,65133,Security system management and reform
United States,Thailand,2587338,Material relief assistance and services
United States,Thailand,25771,Environmental policy and administrative management
United States,Thailand,1966433,Material relief assistance and services
United States,Thailand,62418,Material relief assistance and services
United States,Thailand,344720,Material relief assistance and services
United States,Thailand,172767,Material relief assistance and services
United States,Thailand,63828,Bio-diversity
United States,Thailand,217343,Legal and judicial development
United States,Thailand,18862,Security system management and reform
United States,Thailand,8383,Security system management and reform
United States,Thailand,1370324,Legal and judicial development
United States,Thailand,20699,Social/ welfare services
United States,Thailand,4062184,Legal and judicial development
United States,Thailand,87972,Strengthening civil society
United States,Thailand,298587,Material relief assistance and services
United States,Thailand,284615,Strengthening civil society
United States,Thailand,68056,Bio-diversity
United States,Thailand,64637,Bio-diversity
United States,Thailand,25873,Environmental policy and administrative management
United States,Thailand,84002,"Other social infrastructure and services, education and training"
United States,Thailand,1929,Air transport
United States,Thailand,14343,Security system management and reform
United States,Thailand,15164,Bio-diversity
United States,Thailand,93147,Material relief assistance and services
United States,Thailand,103496,Strengthening civil society
United States,Thailand,259802,Material relief assistance and services
United States,Thailand,1833111,Material relief assistance and services
United States,Thailand,12437,Multisector aid
United States,Thailand,1362581,Medical research
United States,Thailand,6052,Std control including hiv/aids
United States,Thailand,2784055,Multisector aid
United States,Thailand,1138461,Material relief assistance and services
United States,Thailand,82797,Security system management and reform
United States,Thailand,37346,Trade facilitation
United States,Thailand,51350,Bio-diversity
United States,Thailand,51835,Bio-diversity
United States,Thailand,113846,Security system management and reform
United States,Thailand,62098,Security system management and reform
United States,Thailand,6627557,Power generation/non-renewable sources
United States,Thailand,32529,Nuclear power plants
United States,Thailand,6106,Formal sector financial intermediaries
United States,Thailand,6381721,Material relief assistance and services
United States,Thailand,3105,Transport policy and administrative management
United States,Thailand,2132027,Material relief assistance and services
United States,Thailand,24839,Environmental policy and administrative management
United States,Thailand,25873,Environmental policy and administrative management
United States,Thailand,1552447,Material relief assistance and services
United States,Thailand,1862937,Material relief assistance and services
United States,Thailand,258741,Std control including hiv/aids
United States,Thailand,129371,Strengthening civil society
United States,Thailand,39232,Multisector aid
United States,Thailand,517482,Basic health care
United States,Thailand,925761,Std control including hiv/aids
United States,Thailand,53640,Bio-diversity
United States,Thailand,3508229,Emergency/distress relief
United States,Thailand,3507495,Material relief assistance and services
United States,Thailand,51748,Information and communication technology (ICT)
United States,Thailand,3868808,Std control including hiv/aids
United States,Thailand,724475,Strengthening civil society
United States,Thailand,51748,Strengthening civil society
United States,Thailand,35321,Security system management and reform
United States,Thailand,242213,Infectious & Parasitic disease control
United States,Thailand,2989814,Infectious & Parasitic disease control
United States,Thailand,3691113,Infectious disease control
Japan,South Africa,224363,Std control including hiv/aids
Japan,South Africa,8682,Agricultural policy and administrative management
Japan,South Africa,132057,Education policy and administrative management
Japan,South Africa,2955,Education policy and administrative management
Japan,South Africa,54817,Primary education
Japan,South Africa,213163,Primary education
Japan,South Africa,59997,Secondary education
Japan,South Africa,30315,Vocational training
Japan,South Africa,25609,Health policy and administrative management
Japan,South Africa,684056,Health policy and administrative management
Japan,South Africa,24296,Infectious disease control
Japan,South Africa,35118,Tuberculosis control
Japan,South Africa,26071,Reproductive health care
Japan,South Africa,174398,Std control including hiv/aids
Japan,South Africa,209017,Std control including hiv/aids
Japan,South Africa,8439,Water supply and sanitation - large systems
Japan,South Africa,36930,Economic and development policy/planning
Japan,South Africa,201234,Economic and development policy/planning
Japan,South Africa,69433,Social/welfare services
Japan,South Africa,705,Social/welfare services
Japan,South Africa,36808,Employment policy and admin. mgmt.
Japan,South Africa,21134,Water transport
Japan,South Africa,30631,Communications policy and administrative management
Japan,South Africa,78504,Energy policy and admin. management
Japan,South Africa,85,Financial policy and administrative management
Japan,South Africa,12561,Financial policy and administrative management
Japan,South Africa,44821,Business support services and institutions
Japan,South Africa,9631,Business support services and institutions
Japan,South Africa,35106,Agricultural policy and administrative management
Japan,South Africa,73,Agricultural policy and administrative management
Japan,South Africa,9777,Agricultural development
Japan,South Africa,10032,Industrial policy and administrative management
Japan,South Africa,19736,Engineering
Japan,South Africa,12099,Trade policy and admin. management
Japan,South Africa,851,Environmental policy and admin. mgmt
Japan,South Africa,119496,Environmental policy and admin. mgmt
Japan,South Africa,1155,Rural development
Japan,South Africa,179189,Sectors not specified
Japan,South Africa,108904,Education policy and administrative management
Japan,South Africa,318760,Secondary education
Japan,South Africa,73203,Water supply and sanitation - large systems
Japan,South Africa,147682,Social/ welfare services
Japan,South Africa,17231,Communications policy and administrative management
Japan,South Africa,355155,Health policy and administrative management
Japan,South Africa,622466,Sectors not specified
Japan,South Africa,1277,Sectors not specified
Japan,South Africa,195,Education facilities and training
Japan,South Africa,8755,Teacher training
Japan,South Africa,486345,Support to local and regional ngos
Japan,South Africa,44992,Std control including hiv/aids
Japan,South Africa,390102,Engineering
Japan,South Africa,169777,Trade policy and admin. management
Japan,South Africa,5788,Economic and development policy/planning
Japan,South Africa,13570,Trade policy and admin. management
Japan,Brazil,39982,Medical education/training
Japan,Thailand,42839,Rural development
Japan,Brazil,19894,Medical education/training
Japan,Colombia,264040,Higher education
Japan,Brazil,53564,Higher education
Japan,Brazil,13108,Medical services
Japan,Brazil,1572144,Mineral prospection and exploration
Japan,Brazil,11066,Basic life skills for youth and adults
Japan,Brazil,256951,Sectors not specified
Japan,Brazil,23092,Basic health care
Japan,Brazil,33926,Bio-diversity
Japan,Brazil,74370,Water supply and sanitation - large systems
Japan,Brazil,862868,Waste management/disposal
Japan,Brazil,7831,Waste management/disposal
Japan,Brazil,352078,Education policy and administrative management
Japan,Brazil,23785,Industrial development
Japan,Brazil,34717,Chemicals
Japan,Brazil,34473,Trade policy and admin. management
Japan,Brazil,304,Trade policy and admin. management
Japan,Brazil,13011,Tourism policy and admin. management
Japan,Brazil,213066,Environmental policy and admin. mgmt
Japan,Brazil,280,Environmental policy and admin. mgmt
Japan,Brazil,17073,Environmental policy and admin. mgmt
Japan,Brazil,14045,Bio-diversity
Japan,Brazil,35069,Urban development and management
Japan,Brazil,5752,Rural development
Japan,Brazil,134014,Research/scientific institutions
Japan,Brazil,8111,Research/scientific institutions
Japan,Brazil,244645,Sectors not specified
Japan,Brazil,22508,Sectors not specified
Japan,Brazil,3211191,Education policy and administrative management
Japan,Brazil,423773,Primary education
Japan,Brazil,148959,Health policy and administrative management
Japan,Brazil,77045,Basic health care
Japan,Brazil,581767,Social/welfare services
Japan,Brazil,90531,Social/ welfare services
Japan,Brazil,117489,Communications policy and administrative management
Japan,Brazil,38523,Agricultural policy and administrative management
Japan,Brazil,412027,Sectors not specified
Japan,Brazil,41502,Forestry policy and administrative management
Japan,Brazil,316,Health policy and administrative management
Japan,Brazil,28819,Health policy and administrative management
Japan,Brazil,4098,Water supply and sanitation - large systems
Japan,Brazil,476340,Water supply and sanitation - large systems
Japan,Brazil,12367,Infectious disease control
Japan,Brazil,24782,Economic and development policy/planning
Japan,Brazil,413,Social/welfare services
Japan,Brazil,328,Social/welfare services
Japan,Brazil,73,Transport policy and administrative management
Japan,Brazil,803,Agricultural policy and administrative management
Japan,Brazil,1216,Forestry policy and administrative management
Japan,Brazil,35860,Environmental policy and admin. mgmt
Japan,Brazil,23225,Road transport
Japan,Brazil,85,Environmental policy and admin. mgmt
Japan,Brazil,1853804,Sectors not specified
Japan,Brazil,41988,Early childhood education
Japan,Brazil,351288,Health policy and administrative management
Japan,Brazil,8804,Health policy and administrative management
Japan,Brazil,5095,Health policy and administrative management
Japan,Brazil,1885,Infectious disease control
Japan,Brazil,77337,Reproductive health care
Japan,Brazil,12719,Std control including hiv/aids
Japan,Brazil,115665,Std control including hiv/aids
Japan,Brazil,11455,Water resources protection
Japan,Brazil,534295,Water resources protection
Japan,Brazil,775341,Water supply and sanitation - large systems
Japan,Brazil,1228517,Rail transport
Japan,Brazil,2639,Water supply and sanitation - large systems
Japan,Brazil,470723,Water supply and sanitation - large systems
Japan,Brazil,742,Basic drinking water supply and basic sanitation
Japan,Brazil,32212,Waste management/disposal
Japan,Brazil,44967,Economic and development policy/planning
Japan,Brazil,182,Economic and development policy/planning
Japan,Brazil,450,Forest industries
Japan,Brazil,48919,Legal and judicial development
Japan,Brazil,9716,Post-conflict peace building (un)
Japan,Brazil,350072,Social/welfare services
Japan,Brazil,1921,Social/welfare services
Japan,Brazil,328561,Social/welfare services
Japan,Brazil,23359,Housing policy and admin. management
Japan,Brazil,65493,Social/ welfare services
Japan,Brazil,438827,Transport policy and administrative management
Japan,Brazil,10737,Transport policy and administrative management
Japan,Brazil,1265,Rail transport
Japan,Brazil,673368,Water transport
Japan,Brazil,23238,Air transport
Japan,Brazil,99079,Communications policy and administrative management
Japan,Brazil,559,Radio/television/print media
Japan,Brazil,101426,Energy policy and admin. management
Japan,Brazil,170,Power generation/renewable sources
Japan,Brazil,25524,Power generation/renewable sources
Japan,Brazil,19273,Financial policy and administrative management
Japan,Brazil,52203,Business support services and institutions
Japan,Brazil,123776,Agricultural policy and administrative management
Japan,Brazil,498289,Agricultural policy and administrative management
Japan,Brazil,110059,Agricultural policy and administrative management
Japan,Brazil,123411,Agricultural development
Japan,Brazil,37282,Agricultural land resources
Japan,Brazil,22897,Livestock/veterinary services
Japan,Brazil,523,Livestock/veterinary services
Japan,Brazil,13108,Forestry policy and administrative management
Japan,Brazil,4147,Forestry policy and administrative management
Japan,Brazil,595860,Forestry policy and administrative management
Japan,Brazil,158772,Forestry policy and administrative management
Japan,Brazil,1204,Industrial policy and administrative management
Japan,Brazil,62818,Agro-industries
Japan,Brazil,25803,Advanced technical and managerial training
Japan,Brazil,26083,Medical education/training
Japan,Brazil,27202,Decentralisation and support to subnational govt.
Japan,Brazil,26679,Business support services and institutions
Japan,Brazil,35702,Information and communication technology
Japan,Brazil,16209,Environmental research
Japan,Brazil,21511,Information and communication technology
Japan,Brazil,20550,Sectors not specified
Japan,Brazil,25098,Sectors not specified
Japan,Brazil,37817,Sectors not specified
Japan,Brazil,26752,Environmental policy and admin. mgmt
Japan,Brazil,37793,Higher education
Japan,Brazil,31190,Advanced technical and managerial training
Japan,Brazil,84074,Education policy and administrative management
Japan,Chile,45806,Employment policy and admin. mgmt.
Japan,Brazil,49394,Education facilities and training
Japan,Brazil,57273,Teacher training
Japan,Brazil,28941,Higher education
Japan,Brazil,106387,Social/ welfare services
Japan,Brazil,12269,Education policy and administrative management
Japan,Brazil,48469,Higher education
Japan,Brazil,239575,Social/ welfare services
Japan,Brazil,255358,Agricultural policy and administrative management
Japan,Brazil,524077,Forestry policy and administrative management
Japan,Brazil,1797559,Support to local and regional ngos
Japan,Brazil,111396,Support to local and regional ngos
Japan,Brazil,34072,Education policy and administrative management
Japan,Brazil,2521201,Sectors not specified
Japan,Brazil,3271,Economic and development policy/planning
Japan,Brazil,155829,Employment policy and admin. mgmt.
Japan,Brazil,19967,Public finance management
Japan,Chile,3078709,Mineral prospection and exploration
Japan,Chile,130489,Support to local and regional ngos
Japan,Chile,990614,Support to local and regional ngos
Japan,Chile,114218,Education policy and administrative management
Japan,Chile,14081,Education facilities and training
Japan,Chile,16720,Teacher training
Japan,Chile,72060,Social/ welfare services
Japan,Chile,7393,Education policy and administrative management
Japan,Chile,199751,Forestry policy and administrative management
Japan,Chile,182,Industrial policy and administrative management
Japan,Chile,37027,Education policy and administrative management
Japan,Chile,137371,Health policy and administrative management
Japan,Chile,17936,Industrial policy and administrative management
Japan,Chile,27421,Health policy and administrative management
Japan,Chile,2019,Basic health care
Japan,Chile,71099,Water resources protection
Japan,Chile,5046,Water resources protection
Japan,Chile,5533,Basic drinking water supply and basic sanitation
Japan,Chile,36,Waste management/disposal
Japan,Chile,112637,Social/welfare services
Japan,Chile,28941,Social/welfare services
Japan,Chile,435982,Social/welfare services
Japan,Chile,15613,Transport policy and administrative management
Japan,Chile,30375,Road transport
Japan,Chile,6591,Rail transport
Japan,Chile,52057,Energy policy and admin. management
Japan,Chile,22058,Energy policy and admin. management
Japan,Chile,145433,Business support services and institutions
Japan,Chile,30777,Agricultural policy and administrative management
Japan,Chile,26010,Agricultural policy and administrative management
Japan,Chile,495590,Agricultural policy and administrative management
Japan,Chile,82931,Agricultural development
Japan,Chile,30667,Agricultural inputs
Japan,Chile,170,Agricultural development
Japan,Chile,11710,Forestry policy and administrative management
Japan,Chile,17814,Fishing policy and admin. management
Japan,Chile,12537,Fishing policy and admin. management
Japan,Chile,632,Industrial policy and administrative management
Japan,Chile,48968,Agro-industries
Japan,Chile,8001,Mineral/mining policy and administrative management
Japan,Chile,7953,Trade policy and admin. management
Japan,Chile,33440,Tourism policy and admin. management
Japan,Chile,28965,Environmental policy and admin. mgmt
Japan,Chile,2250,Environmental policy and admin. mgmt
Japan,Chile,2444,Environmental policy and admin. mgmt
Japan,Chile,374489,Environmental policy and admin. mgmt
Japan,Chile,65092,Biosphere protection
Japan,Chile,16367,Biosphere protection
Japan,Chile,10603,Bio-diversity
Japan,Chile,21693,Rural development
Japan,Chile,2067,Rural development
Japan,Chile,3222,Sectors not specified
Japan,Chile,14884,Sectors not specified
Japan,Chile,445199,Education policy and administrative management
Japan,Chile,647078,Health policy and administrative management
Japan,Chile,131242,Social/welfare services
Japan,Chile,126804,Social/ welfare services
Japan,Chile,17936,Statistical capacity building
Japan,Chile,38389,Financial policy and administrative management
Japan,Chile,118839,Business support services and institutions
Japan,Chile,255237,Agricultural policy and administrative management
Japan,Chile,38389,Trade policy and admin. management
Japan,Chile,128518,Tourism policy and admin. management
Japan,Chile,531583,Environmental policy and admin. mgmt
Japan,Chile,62320,Sectors not specified
Japan,Chile,12,Basic health care
Japan,Chile,2602,Economic and development policy/planning
Japan,Chile,28649,Social/welfare services
Japan,Chile,17632,Power generation/renewable sources
Japan,Chile,1094,Agricultural policy and administrative management
Japan,Chile,36,Fishing policy and admin. management
Japan,Chile,14592,Industrial policy and administrative management
Japan,Chile,41575,Trade policy and admin. management
Japan,Chile,61,Trade policy and admin. management
Japan,Chile,632,Environmental policy and admin. mgmt
Japan,Chile,61,Rural development
Japan,Chile,404670,Sectors not specified
Japan,Colombia,26642,Water supply and sanitation - large systems
Japan,Colombia,90360,Education policy and administrative management
Japan,Colombia,36,Education policy and administrative management
Japan,Colombia,15236,Vocational training
Japan,Colombia,5569,Higher education
Japan,Colombia,9059,Health policy and administrative management
Japan,Colombia,19553,Infectious disease control
Japan,Colombia,46937,Reproductive health care
Japan,Colombia,109038,Water resources protection
Japan,Colombia,26934,Water resources protection
Japan,Colombia,43241,Water supply and sanitation - large systems
Japan,Colombia,27688,Basic drinking water supply and basic sanitation
Japan,Colombia,44359,Waste management/disposal
Japan,Colombia,195,Waste management/disposal
Japan,Colombia,15796,Agricultural policy and administrative management
Japan,Colombia,13327,Economic and development policy/planning
Japan,Colombia,340,Economic and development policy/planning
Japan,Colombia,86652,Economic and development policy/planning
Japan,Colombia,23578,Legal and judicial development
Japan,Colombia,42158,Rural development
Japan,Colombia,107907,Post-conflict peace building (un)
Japan,Colombia,205089,Post-conflict peace building (un)
Japan,Colombia,198255,Social/welfare services
Japan,Colombia,754414,Social/welfare services
Japan,Colombia,94677,Social/welfare services
Japan,Colombia,24016,Statistical capacity building
Japan,Colombia,26351,Rail transport
Japan,Colombia,8403,Energy policy and admin. management
Japan,Colombia,33075,Energy policy and admin. management
Japan,Colombia,154942,Business support services and institutions
Japan,Colombia,262253,Business support services and institutions
Japan,Colombia,49077,Agricultural policy and administrative management
Japan,Colombia,27311,Agricultural development
Japan,Colombia,242736,Agricultural development
Japan,Colombia,9935,Agricultural development
Japan,Colombia,22569,Forestry policy and administrative management
Japan,Colombia,1946,Forestry policy and administrative management
Japan,Colombia,13303,Forestry policy and administrative management
Japan,Colombia,516614,Forestry policy and administrative management
Japan,Colombia,693,Fishing policy and admin. management
Japan,Colombia,97656,Fishery development
Japan,Colombia,444044,Industrial policy and administrative management
Japan,Colombia,158,Mineral/mining policy and administrative management
Japan,Colombia,48530,Trade policy and admin. management
Japan,Colombia,28989,Tourism policy and admin. management
Japan,Colombia,176331,Environmental policy and admin. mgmt
Japan,Colombia,182,Environmental policy and admin. mgmt
Japan,Colombia,12367,Bio-diversity
Japan,Colombia,18240,Urban development and management
Japan,Colombia,11649,Urban development and management
Japan,Colombia,65688,Rural development
Japan,Colombia,233057,Rural development
Japan,Colombia,56617,Sectors not specified
Japan,Colombia,19249,Sectors not specified
Japan,Colombia,393434,Education policy and administrative management
Japan,Colombia,98362,Primary education
Japan,Colombia,137444,Health policy and administrative management
Japan,Colombia,1933,Social/welfare services
Japan,Colombia,39520,Social/ welfare services
Japan,Colombia,143159,Business support services and institutions
Japan,Colombia,142551,Agricultural policy and administrative management
Japan,Colombia,71573,Industrial policy and administrative management
Japan,Colombia,18909,Forest industries
Japan,Colombia,70977,Trade policy and admin. management
Japan,Colombia,52105,Sectors not specified
Japan,Colombia,280,Economic and development policy/planning
Japan,Colombia,1581,Economic and development policy/planning
Japan,Colombia,6858,Post-conflict peace building (un)
Japan,Colombia,48202,Employment policy and admin. mgmt.
Japan,Colombia,6214,Post-conflict peace building (un)
Japan,Colombia,414204,Material relief assistance and services
Japan,Colombia,117707,Support to local and regional ngos
Japan,Colombia,27846,Education facilities and training
Japan,Colombia,15407,Teacher training
Japan,Colombia,6177,Social/ welfare services
Japan,Colombia,1629,Education policy and administrative management
Japan,Colombia,6846,Social/ welfare services
Japan,Colombia,1471,Social/welfare services
Japan,Colombia,462,Agricultural policy and administrative management
Japan,Colombia,1727,Forestry policy and administrative management
Japan,Colombia,1240,Industrial policy and administrative management
Japan,Colombia,505330,Sectors not specified
Japan,Colombia,158,Sectors not specified
Japan,Colombia,5246689,Support to local and regional ngos
Japan,India,24587,Agricultural land resources
Japan,India,1205948,Sectors not specified
Japan,India,22630,Environmental policy and admin. mgmt
Japan,India,827,Sectors not specified
Japan,India,27445,Water supply and sanitation - large systems
Japan,India,733912,Education policy and administrative management
Japan,India,43593,Education facilities and training
Japan,India,116419,Teacher training
Japan,India,8086,Social/ welfare services
Japan,India,7576,Education policy and administrative management
Japan,India,54331,Social/ welfare services
Japan,India,312765,Forestry policy and administrative management
Japan,India,15905,Environmental education/training
Japan,India,181791,Sectors not specified
Japan,India,2463487,Infectious & Parasitic disease control
Japan,India,21049,Legal and judicial development
Japan,India,26703,Teacher training
Japan,India,13862,Waste management/disposal
Japan,India,410859,Forestry policy and administrative management
Japan,India,99201,Education policy and administrative management
Japan,India,8974,Economic and development policy/planning
Japan,India,28746,Water supply and sanitation - large systems
Japan,India,486,Waste management/disposal
Japan,India,200481,Economic and development policy/planning
Japan,India,193100,Social/welfare services
Japan,India,72011,Statistical capacity building
Japan,India,12476,Transport policy and administrative management
Japan,India,41672,Transport policy and administrative management
Japan,India,1756038,Energy policy and admin. management
Japan,India,705,Forestry policy and administrative management
Japan,India,7734243,Engineering
Japan,India,948,Transport policy and administrative management
Japan,India,5059,Road transport
Japan,India,843461,Road transport
Japan,India,1121935,Rail transport
Japan,India,66807,Rail transport
Japan,India,17875,Energy policy and admin. management
Japan,India,133686,Energy policy and admin. management
Japan,India,556523,Energy policy and admin. management
Japan,India,534441,Power generation/renewable sources
Japan,India,6031,Financial policy and administrative management
Japan,India,29451,Business support services and institutions
Japan,India,224144,Business support services and institutions
Japan,India,6408,Agricultural policy and administrative management
Japan,India,367777,Agricultural development
Japan,India,5508,Agricultural development
Japan,India,409947,Agricultural development
Japan,India,924,Fishing policy and admin. management
Japan,India,130184,Fishing policy and admin. management
Japan,India,280104,Industrial policy and administrative management
Japan,India,12938,Chemicals
Japan,India,36407,Tourism policy and admin. management
Japan,India,121709,Tourism policy and admin. management
Japan,India,50938,Environmental policy and admin. mgmt
Japan,India,29573,Water resources protection
Japan,India,8767,Environmental policy and admin. mgmt
Japan,India,1091596,Environmental policy and admin. mgmt
Japan,India,98702,Bio-diversity
Japan,India,150430,Sectors not specified
Japan,India,13874,Sectors not specified
Japan,India,795709,Education policy and administrative management
Japan,India,31981,Sectors not specified
Japan,India,42268,Education policy and administrative management
Japan,India,73,Education policy and administrative management
Japan,India,8950,Primary education
Japan,India,47630,Vocational training
Japan,India,10397,Higher education
Japan,India,7308,Health policy and administrative management
Japan,India,2006,Health policy and administrative management
Japan,India,83454,Reproductive health care
Japan,India,619572,Reproductive health care
Japan,India,7235,Std control including hiv/aids
Japan,India,389397,Water resources protection
Japan,India,807054,Agricultural policy and administrative management
Japan,India,1466693,Water supply and sanitation - large systems
Japan,India,73,Water supply and sanitation - large systems
Japan,India,32017,River development
Japan,India,135838,Waste management/disposal
Japan,India,293589,Employment policy and admin. mgmt.
Japan,India,323437883,Basic drinking water supply and basic sanitation
Japan,India,30499177,Basic drinking water supply and basic sanitation
Japan,India,916044821,Rail transport
Japan,India,18313927,Rail transport
Japan,India,147905386,Basic drinking water supply and basic sanitation
Japan,India,5035128,Basic drinking water supply and basic sanitation
Japan,India,202498672,Basic drinking water supply and basic sanitation
Japan,India,2932151,Basic drinking water supply and basic sanitation
Japan,India,2408,Health policy and administrative management
Japan,India,31316334,Rail transport
Japan,India,8743,Legal and judicial development
Japan,India,28941,Communications policy and administrative management
Japan,India,159562,Economic and development policy/planning
Japan,India,19322,Trade policy and admin. management
Japan,India,13570,Trade policy and admin. management
Japan,India,17778,Forestry policy and administrative management
Japan,India,154443,Vocational training
Japan,India,25293,Public finance management
Japan,India,17133,Road transport
Japan,India,48968,Health policy and administrative management
Japan,India,24502,Basic health care
Japan,India,127229,Sectors not specified
Japan,India,292,Infectious disease control
Japan,India,705,Water supply and sanitation - large systems
Japan,India,2274,Road transport
Japan,India,602281,Rail transport
Japan,India,450,Business support services and institutions
Japan,India,2104,Agricultural policy and administrative management
Japan,India,523,Environmental policy and admin. mgmt
Japan,India,976940,Sectors not specified
Japan,India,49,Sectors not specified
Japan,India,53545,Support to national ngos
Japan,India,62915,Education policy and administrative management
Japan,India,2535489,Support to local and regional NGOs
Japan,Thailand,12829,Environmental policy and admin. mgmt
Japan,Thailand,114668,Environmental policy and admin. mgmt
Japan,Thailand,71829,Social/ welfare services
Japan,Thailand,10506,Environmental policy and admin. mgmt
Japan,Thailand,16927,Economic and development policy/planning
Japan,Thailand,212616,Education policy and administrative management
Japan,Thailand,1021,Education policy and administrative management
Japan,Thailand,11041,Education policy and administrative management
Japan,Thailand,15942,Vocational training
Japan,Thailand,238347,Vocational training
Japan,Thailand,27299,Higher education
Japan,Thailand,2447901,Higher education
Japan,Thailand,74638,Health policy and administrative management
Japan,Thailand,174057,Health policy and administrative management
Japan,Thailand,727212,Health policy and administrative management
Japan,Thailand,43277,Infectious disease control
Japan,Thailand,152498,Infectious disease control
Japan,Thailand,14774,Std control including hiv/aids
Japan,Thailand,24539,Water resources protection
Japan,Thailand,299742,Water resources protection
Japan,Thailand,4827,Water supply and sanitation - large systems
Japan,Thailand,1131,River development
Japan,Thailand,216021,River development
Japan,Thailand,16878,Waste management/disposal
Japan,Thailand,325485,Economic and development policy/planning
Japan,Thailand,973,Economic and development policy/planning
Japan,Thailand,5192,Economic and development policy/planning
Japan,Thailand,8561,Legal and judicial development
Japan,Thailand,3259,Post-conflict peace building (un)
Japan,Thailand,260490,Social/welfare services
Japan,Thailand,157045,Social/welfare services
Japan,Thailand,447753,Social/welfare services
Japan,Thailand,903956,Social/welfare services
Japan,Thailand,491735,Social/welfare services
Japan,Thailand,11418,Employment policy and admin. mgmt.
Japan,Thailand,35653,Employment policy and admin. mgmt.
Japan,Thailand,5739,Housing policy and admin. management
Japan,Thailand,15431,Social/ welfare services
Japan,Thailand,21669,Statistical capacity building
Japan,Thailand,36,Statistical capacity building
Japan,Thailand,36589,Transport policy and administrative management
Japan,Thailand,511,Transport policy and administrative management
Japan,Thailand,193136,Road transport
Japan,Thailand,49,Air transport
Japan,Thailand,7649,Air transport
Japan,Thailand,104527,Communications policy and administrative management
Japan,Thailand,195568,Communications policy and administrative management
Japan,Thailand,12209,Telecommunications
Japan,Thailand,131984,Energy policy and admin. management
Japan,Thailand,146,Energy policy and admin. management
Japan,Thailand,20562,Energy policy and admin. management
Japan,Thailand,730,Power generation/renewable sources
Japan,Thailand,103335,Power generation/renewable sources
Japan,Thailand,28649,Financial policy and administrative management
Japan,Thailand,12768,Fishery development
Japan,Thailand,11187,Financial policy and administrative management
Japan,Thailand,85557,Financial policy and administrative management
Japan,Thailand,589099,Financial policy and administrative management
Japan,Thailand,7381,Business support services and institutions
Japan,Thailand,119727,Agricultural policy and administrative management
Japan,Thailand,2347,Agricultural policy and administrative management
Japan,Thailand,474784,Agricultural policy and administrative management
Japan,Thailand,19626,Agricultural development
Japan,Thailand,23578,Agricultural development
Japan,Thailand,109,Agricultural land resources
Japan,Thailand,1641042,Livestock/veterinary services
Japan,Thailand,8986,Forestry policy and administrative management
Japan,Thailand,97,Forestry policy and administrative management
Japan,Thailand,6275,Forestry policy and administrative management
Japan,Thailand,20210,Fishing policy and admin. management
Japan,Thailand,85,Fishing policy and admin. management
Japan,Thailand,89375,Industrial policy and administrative management
Japan,Thailand,61444,Telecommunications
Japan,Thailand,82189,Industrial policy and administrative management
Japan,Thailand,1411,Agro-industries
Japan,Thailand,53941,Engineering
Japan,Thailand,26740,Trade policy and admin. management
Japan,Thailand,155659,Trade policy and admin. management
Japan,Thailand,34340,Tourism policy and admin. management
Japan,Thailand,88707,Environmental policy and admin. mgmt
Japan,Thailand,1970,Environmental policy and admin. mgmt
Japan,Thailand,9825,Environmental policy and admin. mgmt
Japan,Thailand,128810,Environmental policy and admin. mgmt
Japan,Thailand,36699,Biosphere protection
Japan,Thailand,69299,Biosphere protection
Japan,Thailand,9096,Biosphere protection
Japan,Thailand,49625,Biosphere protection
Japan,Thailand,9570,Urban development and management
Japan,Thailand,259797,Communications policy and administrative management
Japan,Thailand,612386,Urban development and management
Japan,Thailand,80049,Research/scientific institutions
Japan,Thailand,264332,Sectors not specified
Japan,Thailand,111251,Sectors not specified
Japan,Thailand,188004,Sectors not specified
Japan,Thailand,4706,Sectors not specified
Japan,Thailand,1187124,Education policy and administrative management
